[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 65/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 66/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 67/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 68/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 69/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 70/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 71/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 72/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 73/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 74/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 75/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 76/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 77/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 78/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 79/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 80/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 81/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 82/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 83/94
