[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132141_a7789ed5 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132147_df388616 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132147_5aee1d99 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132151_54815184 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132158_ffbe1b62 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132158_0ed46f14 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132204_3da80d72 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132204_3f9e67fc already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132212_fe38f2e2 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132212_0c6d21f2 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132218_819e33d2 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132218_f99175aa already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132223_d9b43a20 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132226_1de3ce5e already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132226_d695374b already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132232_47f75af5 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132232_62907764 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132236_89e2be90 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132236_23300d8f already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132246_4228d7a4 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132246_a0eb7b46 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132255_fefc2756 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132309_272538af already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132309_5638dcbc already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132312_faf1fd12 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132312_7b1d62bf already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132321_3086ba27 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132321_81d95f1e already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132326_76c25881 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132326_9981bd03 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132330_6b8c31f9 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132330_0200d629 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132337_0414a8b8 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132337_bd939109 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132343_be69fca2 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132343_65f5ab12 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132343_0a86d9db already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132343_ea602e3c already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132343_1aa6ec04 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132343_0ede0e7e already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132343_f5307f9b already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132343_6aed60c0 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132343_f8a1ab78 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132343_3450537d already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132343_0b209cc9 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132343_3a439461 already in index.json
