Pergeseran ke,Periode,Nilai,Tanggal
61,5Y,"Rp1,276.28",3 Sep 21
59,3M,"Rp1,458.49",22 Nov 24
59,ALL,"Rp1,159.18",13 Sep 19
59,1M,"Rp1,467.08",3 Jan 25
59,3Y,"Rp1,329.37",2 Jan 23
59,YTD,"Rp1,468.03",7 Jan 25
62,5Y,"Rp1,277.37",14 Sep 21
60,3M,"Rp1,459.06",25 Nov 24
60,ALL,"Rp1,162.49",30 Sep 19
60,1M,"Rp1,467.08",3 Jan 25
60,3Y,"Rp1,330.01",6 Jan 23
60,YTD,"Rp1,468.03",7 Jan 25
63,5Y,"Rp1,278.33",24 Sep 21
61,3M,"Rp1,459.06",25 Nov 24
61,ALL,"Rp1,165.45",15 Okt 19
61,1M,"Rp1,467.08",3 Jan 25
61,3Y,"Rp1,330.96",12 Jan 23
61,YTD,"Rp1,468.34",8 Jan 25
64,5Y,"Rp1,279.55",5 Okt 21
62,ALL,"Rp1,168.70",1 Nov 19
62,3M,"Rp1,459.06",25 Nov 24
62,1M,"Rp1,467.76",6 Jan 25
62,3Y,"Rp1,332.02",19 Jan 23
62,YTD,"Rp1,468.34",8 Jan 25
65,5Y,"Rp1,280.30",15 Okt 21
63,3M,"Rp1,459.06",25 Nov 24
63,ALL,"Rp1,172.00",18 Nov 19
63,1M,"Rp1,467.76",6 Jan 25
63,3Y,"Rp1,332.99",25 Jan 23
63,YTD,"Rp1,468.34",8 Jan 25
66,5Y,"Rp1,281.43",26 Okt 21
64,ALL,"Rp1,175.01",4 Des 19
64,3M,"Rp1,459.06",25 Nov 24
64,1M,"Rp1,467.76",6 Jan 25
64,3Y,"Rp1,333.83",31 Jan 23
64,YTD,"Rp1,468.34",8 Jan 25
67,5Y,"Rp1,282.43",5 Nov 21
65,3M,"Rp1,459.06",25 Nov 24
65,ALL,"Rp1,178.23",20 Des 19
65,1M,"Rp1,467.76",6 Jan 25
65,3Y,"Rp1,334.30",6 Feb 23
65,YTD,"Rp1,468.34",8 Jan 25
68,5Y,"Rp1,283.57",16 Nov 21
66,3M,"Rp1,459.30",26 Nov 24
66,ALL,"Rp1,181.54",6 Jan 20
66,1M,"Rp1,467.76",6 Jan 25
66,3Y,"Rp1,335.43",13 Feb 23
66,YTD,"Rp1,468.34",8 Jan 25
69,5Y,"Rp1,284.60",26 Nov 21
67,ALL,"Rp1,184.68",22 Jan 20
