Date,Open,High,Low,Close,Adj Close,Volume
2024-07-10,912.33,916.24,910.24,912.33,912.33,"9,696,700,000"
2024-07-09,904.96,915.03,902.56,909.42,909.42,"2,249,000,000"
2024-07-08,908.46,908.66,899.45,904.33,904.33,"2,599,800,000"
2024-07-05,905.48,911.00,901.68,906.64,906.64,"1,824,200,000"
2024-07-04,900.56,909.05,899.34,899.85,899.85,"2,630,100,000"
2024-07-03,898.49,898.91,889.97,897.60,897.60,"2,174,400,000"
2024-07-02,898.85,902.03,889.90,892.72,892.72,"2,433,100,000"
2024-07-01,890.24,897.02,888.97,896.66,896.66,"2,494,400,000"
2024-06-28,879.33,893.08,878.82,887.73,887.73,"3,661,800,000"
2024-06-27,868.24,875.84,865.12,874.39,874.39,"2,613,500,000"
2024-06-26,862.18,870.19,861.47,863.29,863.29,"3,506,300,000"
2024-06-25,861.21,862.89,853.74,861.67,861.67,"3,883,900,000"
2024-06-24,866.70,871.30,864.00,864.40,864.40,"3,440,300,000"
2024-06-21,858.72,875.27,857.21,867.20,867.20,"11,114,600,000"
2024-06-20,844.74,854.78,841.32,854.78,854.78,"5,337,400,000"
2024-06-19,846.25,852.04,838.17,839.62,839.62,"11,372,600,000"
2024-06-14,858.27,860.47,842.11,845.50,845.50,"5,694,800,000"
2024-06-13,872.16,872.29,858.39,858.63,858.63,"7,789,500,000"
2024-06-12,868.48,869.91,861.05,862.86,862.86,"6,602,200,000"
2024-06-11,880.60,882.62,867.78,867.78,867.78,"7,436,900,000"
2024-06-10,886.72,887.25,879.57,884.84,884.84,"14,044,000,000"
2024-06-07,894.69,895.40,882.94,883.93,883.93,"3,897,800,000"
2024-06-06,890.95,896.91,884.97,892.10,892.10,"5,450,500,000"
2024-06-05,899.30,900.24,879.63,881.70,881.70,"5,494,500,000"
2024-06-04,895.74,905.01,893.65,895.80,895.80,"6,437,600,000"
2024-06-03,883.75,891.50,876.08,888.28,888.28,"5,124,200,000"
2024-05-31,882.88,887.95,871.42,871.42,871.42,"15,377,300,000"
2024-05-30,883.01,886.42,863.96,874.12,874.12,"7,536,300,000"
2024-05-29,904.88,905.80,884.85,886.18,886.18,"5,879,900,000"
2024-05-28,900.23,913.75,898.30,900.82,900.82,"7,068,800,000"
2024-05-27,895.00,902.09,889.25,889.80,889.80,"9,285,900,000"
2024-05-22,894.02,900.51,891.30,895.84,895.84,"4,635,800,000"
2024-05-21,906.82,909.83,890.69,891.58,891.58,"3,783,200,000"
2024-05-20,922.17,927.98,905.39,908.54,908.54,"5,279,900,000"
2024-05-17,909.91,925.64,909.03,919.51,919.51,"7,429,400,000"
2024-05-16,906.67,912.59,904.90,909.31,909.31,"4,888,800,000"
2024-05-15,893.02,904.78,890.92,901.40,901.40,"3,419,400,000"
2024-05-14,895.20,898.78,891.01,892.58,892.58,"3,244,800,000"
2024-05-13,887.55,897.21,885.36,895.55,895.55,"4,269,300,000"
2024-05-08,898.90,906.56,891.85,893.43,893.43,"4,364,000,000"
2024-05-07,906.22,908.28,897.15,898.02,898.02,"4,316,900,000"
2024-05-06,910.90,912.30,900.05,906.29,906.29,"6,083,100,000"
2024-05-03,904.15,908.31,894.89,903.33,903.33,"6,475,000,000"
2024-05-02,925.48,925.95,893.48,898.75,898.75,"4,801,100,000"
2024-04-30,922.62,933.98,919.58,926.73,926.73,"5,797,000,000"
2024-04-29,895.23,917.38,894.65,915.35,915.35,"4,753,100,000"
2024-04-26,919.45,921.89,898.78,898.78,898.78,"4,495,700,000"
2024-04-25,929.79,931.81,920.62,923.49,923.49,"3,721,400,000"
2024-04-24,931.16,936.68,924.88,931.36,931.36,"5,021,600,000"
2024-04-23,927.95,937.95,924.33,927.64,927.64,"5,200,200,000"
2024-04-22,922.77,926.69,912.32,921.46,921.46,"4,067,900,000"
2024-04-19,927.44,929.54,914.45,920.31,920.31,"5,938,100,000"
2024-04-18,932.90,939.55,929.86,935.51,935.51,"4,174,700,000"
2024-04-17,943.30,946.71,928.35,928.35,928.35,"5,128,600,000"
2024-04-16,928.69,947.27,924.96,935.34,935.34,"8,002,000,000"
2024-04-05,965.73,970.61,963.49,963.73,963.73,"2,773,600,000"
2024-04-04,954.85,968.67,954.78,967.77,967.77,"3,268,100,000"
2024-04-03,963.03,965.41,951.66,953.90,953.90,"3,305,800,000"
2024-04-02,967.70,969.82,953.53,968.37,968.37,"4,470,100,000"
2024-04-01,985.27,986.93,957.79,969.08,969.08,"3,322,700,000"
2024-03-28,985.78,991.28,979.99,985.97,985.97,"4,024,100,000"
2024-03-27,997.49,999.10,988.76,990.37,990.37,"3,930,700,000"
2024-03-26,993.12,999.03,991.76,997.80,997.80,"4,876,800,000"
2024-03-25,994.44,"1,001.91",990.20,"1,001.91","1,001.91","3,392,000,000"
