[2025-04-08 21:18:47] [INFO] ===== Mulai scraping seluruh data =====
[2025-04-08 21:18:47] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 1 periode)
[2025-04-08 21:18:47] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:18:47] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:18:50] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:18:50] [INFO] Beralih ke mode AUM...
[2025-04-08 21:18:50] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:18:51] [INFO] Berhasil memilih periode 1M.
[2025-04-08 21:19:13] [DEBUG] Default | Periode 1M | Kursor 450 | Tanggal: 26 Mar 25 | Data: $1.04
[2025-04-08 21:19:13] [DEBUG] AUM | Periode 1M | Kursor 330 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:13] [DEBUG] Default | Periode 1M | Kursor 470 | Tanggal: 27 Mar 25 | Data: $1.02
[2025-04-08 21:19:13] [DEBUG] AUM | Periode 1M | Kursor 350 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:13] [DEBUG] Default | Periode 1M | Kursor 490 | Tanggal: 27 Mar 25 | Data: $1.02
[2025-04-08 21:19:13] [INFO] Scraping 1M (Default) selesai, total data: 51
[2025-04-08 21:19:14] [DEBUG] AUM | Periode 1M | Kursor 370 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:14] [DEBUG] AUM | Periode 1M | Kursor 390 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:14] [DEBUG] AUM | Periode 1M | Kursor 410 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:15] [DEBUG] AUM | Periode 1M | Kursor 430 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:15] [DEBUG] AUM | Periode 1M | Kursor 450 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:16] [INFO] Scraping 1M (Default) selesai dalam 29.05 detik.
[2025-04-08 21:19:16] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 1M (Default) selesai.
[2025-04-08 21:19:16] [DEBUG] AUM | Periode 1M | Kursor 470 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:16] [DEBUG] AUM | Periode 1M | Kursor 490 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:16] [INFO] Scraping 1M (AUM) selesai, total data: 51
[2025-04-08 21:19:18] [INFO] Scraping 1M (AUM) selesai dalam 31.72 detik.
[2025-04-08 21:19:18] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 1M (AUM) selesai.
[2025-04-08 21:19:18] [INFO] Data Batavia Technology Sharia Equity USD berhasil diperbarui dan disimpan ke database/mutual_fund\Batavia Technology Sharia Equity USD.csv dan database/mutual_fund\Batavia Technology Sharia Equity USD.json
[2025-04-08 21:19:18] [INFO] Scraping Batavia Technology Sharia Equity USD selesai dalam 31.74 detik.
[2025-04-08 21:19:18] [INFO] ===== Semua scraping selesai dalam 31.74 detik =====
