Date,Open,High,Low,Close,Adj Close,Volume
1998-03-30,544.19,545.47,534.28,541.42,541.40,"6,521,800"
1998-04-01,543.10,546.68,520.88,523.95,523.93,"6,326,300"
1998-04-02,523.97,524.13,513.74,516.40,516.38,"3,965,200"
1998-04-03,516.38,533.75,516.38,533.30,533.28,"6,654,700"
1998-04-06,533.49,533.49,523.37,526.14,526.12,"4,148,200"
1998-04-08,525.85,538.08,525.85,530.04,530.02,"5,404,600"
1998-04-09,530.80,532.22,524.10,527.59,527.56,"5,189,100"
1998-04-13,527.85,533.54,523.03,524.06,524.04,"3,746,300"
1998-04-14,524.17,525.92,514.18,516.10,516.08,"3,764,600"
1998-04-15,516.15,518.72,512.53,513.45,513.43,"4,311,800"
1998-04-16,513.49,517.43,508.57,510.07,510.05,"5,058,700"
1998-04-17,510.02,510.47,505.49,507.90,507.88,"4,520,900"
1998-04-20,507.98,510.25,505.48,508.16,508.14,"4,311,900"
1998-04-21,508.37,508.37,495.69,497.71,497.69,"6,067,100"
1998-04-22,497.78,502.04,497.25,500.64,500.62,"4,551,100"
1998-04-23,500.71,501.31,489.54,491.86,491.84,"4,277,500"
1998-04-24,491.87,491.87,487.68,490.48,490.46,"3,171,100"
1998-04-27,490.64,490.73,482.02,485.64,485.62,"4,059,800"
1998-04-29,485.31,485.37,461.70,465.25,465.23,"4,310,800"
1998-04-30,466.37,466.80,456.04,460.14,460.12,"3,473,200"
1998-05-01,460.11,460.11,446.58,448.52,448.51,"3,072,300"
1998-05-04,448.52,451.92,443.02,445.99,445.98,"2,448,000"
1998-05-05,446.01,447.02,431.08,435.16,435.14,"3,333,100"
1998-05-06,434.85,434.85,408.13,414.63,414.61,"3,806,200"
1998-05-07,417.54,436.78,416.70,436.78,436.76,"4,585,000"
1998-05-08,436.24,440.47,431.66,434.65,434.64,"3,835,000"
1998-05-12,434.80,434.80,425.45,430.53,430.51,"2,578,500"
1998-05-13,430.44,430.44,393.36,402.06,402.04,"5,185,200"
